City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
229,Khatanga,RU,54.14,overcast clouds,71.9667,102.5,"""Khatanga"""
234,Mago,RU,64.2,overcast clouds,53.2514,140.1822,
242,Solnechnyy,RU,64.49,few clouds,50.7214,136.6319,Hotel complex Pastoral
243,Mizur,RU,64.02,clear sky,42.8531,44.0531,
245,Sarkand,KZ,66.07,broken clouds,45.41,79.9186,Гостиница Сарканд
247,Port Hardy,CA,62.78,broken clouds,50.6996,-127.4199,Airport Inn-Port Hardy
248,Carnarvon,AU,58.84,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
252,Qujing,CN,59.77,broken clouds,25.4833,103.7833,Yulong Hotel
254,Peniche,PT,68.29,overcast clouds,39.3558,-9.3811,Hotel Star inn Peniche
258,Rio Grande,BR,53.71,light rain,-32.035,-52.0986,Hotel Atlântico Rio Grande
260,Athabasca,CA,59.41,overcast clouds,54.7169,-113.2854,Athabasca Lodge Motel
264,Bakuriani,GE,57.0,clear sky,41.7497,43.5325,Villa Palace
267,Da Lat,VN,60.08,overcast clouds,11.9465,108.4419,YK Home Villa Dalat
271,Senno,RU,56.26,broken clouds,59.5336,33.9167,
272,Saint-Pierre,RE,65.28,clear sky,-21.3393,55.4781,Alize Plage
274,Senanga,ZM,62.4,clear sky,-16.1167,23.2667,Zango lodge
275,Peterhead,GB,52.45,broken clouds,57.5058,-1.7981,Palace Hotel
277,Moron,AR,51.55,overcast clouds,-34.6534,-58.6198,Hotel Morón
280,Turka,UA,66.15,clear sky,49.1541,23.0297,Мотель
281,Verkhnyaya Inta,RU,54.95,scattered clouds,65.9811,60.3094,
282,Nikolskoye,RU,66.09,few clouds,59.7035,30.7861,Tourist House - Sablino
283,Pisco,PE,64.45,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
284,Kovdor,RU,57.27,overcast clouds,67.5662,30.4758,Derevo Zhelaniy
287,Chapais,CA,64.18,scattered clouds,49.7834,-74.8492,Hôtel Opémiska
294,Port Lincoln,AU,52.57,broken clouds,-34.7333,135.8667,Port Lincoln Hotel
295,Khorinsk,RU,56.43,overcast clouds,52.1657,109.7726,Uda
296,Salta,AR,63.19,broken clouds,-24.7859,-65.4117,Hotel Alejandro I
299,Smithers,CA,61.12,broken clouds,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
305,Oktyabrskiy,RU,67.68,overcast clouds,54.4815,53.471,Гостиница Октябрьская
308,Inhambane,MZ,66.34,clear sky,-23.865,35.3833,Oceano
315,Warkworth,NZ,56.1,clear sky,-36.4,174.6667,Bridge House Lodge Bar & Restaurant
317,Churapcha,RU,66.87,scattered clouds,62.0025,132.4325,"""Tusku"""
321,Belyy Yar,RU,53.85,clear sky,53.6039,91.3903,Pasportnyy Stol
326,Mutoko,ZW,55.53,clear sky,-17.397,32.2268,Mutoko Hotel
329,Sekoma,BW,57.33,clear sky,-24.4,23.8833,
331,Gualaquiza,EC,68.58,moderate rain,-3.4,-78.55,Hotel Merceditas
335,De Aar,ZA,54.63,clear sky,-30.6497,24.0123,Nyibiba Guesthouse
338,Mangochi,MW,68.67,scattered clouds,-14.4782,35.2645,Fort Johnstone Hotel
343,Saint-Paul,RE,66.29,light rain,-21.0096,55.2707,Boucan Canot
344,Beisfjord,NO,53.65,scattered clouds,68.3751,17.5988,
345,Tomakomai,JP,66.34,broken clouds,42.6369,141.6033,Hotel Wing International Tomakomai
346,Kitimat,CA,66.58,broken clouds,54.0524,-128.6534,Kingfish Westcoast Adventures Ltd. Kitimat Estuary Lodge B&B
350,Rognan,NO,55.76,overcast clouds,67.0953,15.3878,Rognan Hotell
354,La Ronge,CA,64.65,overcast clouds,55.1001,-105.2842,Northland Motor Hotel
357,Homer,US,64.27,broken clouds,59.6425,-151.5483,Beluga Lake Lodge
359,Sitka,US,62.49,overcast clouds,57.0531,-135.33,Westmark Sitka
364,Semypolky,UA,67.93,scattered clouds,50.7167,30.9333,"Мотель ""Экспресс"""
365,Sept-Iles,CA,65.05,overcast clouds,50.2001,-66.3821,Comfort Inn
366,Colares,PT,69.76,overcast clouds,38.7992,-9.4469,Arribas Sintra Hotel
368,Mareeba,AU,66.43,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
369,Beringovskiy,RU,58.05,clear sky,63.05,179.3167,
372,Ossora,RU,61.97,scattered clouds,59.2353,163.0719,
375,Duyun,CN,69.66,broken clouds,26.2667,107.5167,Na Li Guesthouse
379,Chiochis,RO,67.62,light rain,46.9833,24.1833,
380,Lokosovo,RU,58.28,few clouds,61.1333,74.8167,
381,Inverell,AU,61.66,overcast clouds,-29.7833,151.1167,Sapphire City Motor Inn
382,Huarmey,PE,66.07,broken clouds,-10.0681,-78.1522,Hotel Miramar
383,Altay,CN,61.7,broken clouds,47.8667,88.1167,Jinqiao Hotel
384,San Jeronimo,PE,57.45,broken clouds,-11.9472,-75.2829,Tuki Llajta Pueblo Bonito Eco Lodge
386,Narsaq,GL,52.02,overcast clouds,60.9167,-46.05,Sleep In Narsaq
387,Yar-Sale,RU,55.58,clear sky,66.8333,70.8333,Yalemd
389,Roald,NO,56.75,broken clouds,62.5833,6.1333,Flem Cabins
390,Kurilsk,RU,54.36,broken clouds,45.2333,147.8833,Hotel Ostrov
399,Zharkent,KZ,69.22,scattered clouds,44.1628,80.0,гостиница Satti
402,Yeppoon,AU,62.38,clear sky,-23.1333,150.7333,Villa Mar Colina
406,Ilo,PE,63.46,broken clouds,-17.6394,-71.3375,Torreblanca Hotel
409,Bira,RU,67.51,light rain,49.0,132.4667,
